Circuit Name,sabre,noise_adaptive,dense,trivial,toqm,Circuit_Size,qmap_heuristic
square_root_7,582,644,712,719,884.0,7630,1106
adr4_197,268,350,324,324,378.0,3439,557
urf1_149,17966,18346,18863,20138,20408.0,184864,21374
inc_237,775,799,861,973,1142.0,10619,1549
9symml_195,2910,3500,3296,3798,3987.0,34881,6164
rd73_252,431,465,513,564,565.0,5321,662
cm85a_209,925,1085,907,1096,1250.0,11414,1848
urf2_277,2404,2225,2299,2593,2803.0,20112,2936
life_238,1992,2019,2108,2599,3072.0,22445,3746
pm1_249,75,139,111,175,125.0,1776,235
z4_268,213,303,269,325,350.0,3073,330
cycle10_2_110,470,537,565,625,928.0,6050,1055
urf1_278,6020,6113,6322,6697,7439.0,54766,7643
ham15_107,740,775,680,893,952.0,8763,1395
dist_223,3157,3274,3280,4055,5265.0,38046,6425
rd84_253,1271,1246,1271,1521,1533.0,13658,2074
dc2_222,793,903,805,895,1011.0,9462,1457
cm82a_208,26,30,47,64,44.0,650,76
hwb8_113,6664,6568,5888,7179,6498.0,69380,11342
sqrt8_260,241,268,293,314,407.0,3009,435
mlp4_245,1655,1913,1887,2083,2379.0,18852,2906
rd53_251,63,92,108,131,118.0,1291,133
sqn_258,768,923,805,1066,1100.0,10223,1853
qft_10,9,9,21,14,22.0,200,25
root_255,1424,1398,1482,1760,2221.0,17159,2833
cm42a_207,76,141,131,164,125.0,1776,235
