Filename,Execution_Time
4mod5-v0_20.qasm,3.63386607170105
alu-v3_34.qasm,4.157226324081421
4gt11_83.qasm,3.165951728820801
4mod5-v0_19.qasm,3.1357359886169434
alu-v1_28.qasm,3.943751335144043
4gt11_84.qasm,2.705535650253296
ex-1_166.qasm,2.7044219970703125
alu-v3_35.qasm,3.7768423557281494
ex1_226.qasm,2.680821657180786
3_17_13.qasm,2.9855422973632812
alu-bdd_288.qasm,12.364333868026733
qe_qft_4.qasm,3.021176815032959
alu-v1_29.qasm,3.787356376647949
mod5mils_65.qasm,3.3505666255950928
4mod5-v1_22.qasm,3.017829179763794
decod24-v2_43.qasm,3.6186530590057373
ham3_102.qasm,2.980678081512451
4mod5-v1_24.qasm,3.103978395462036
rd32-v1_68.qasm,3.2304561138153076
alu-v4_37.qasm,3.968156337738037
4mod5-bdd_287.qasm,4.641226530075073
xor5_254.qasm,2.6829354763031006
4gt13-v1_93.qasm,3.776071310043335
graycode6_47.qasm,2.73539662361145
rd32-v0_66.qasm,3.1432838439941406
alu-v0_27.qasm,4.141902685165405
decod24-v0_38.qasm,3.438304901123047
4gt11_82.qasm,4.064711332321167
ising_model_10.qasm,8.227962732315063
alu-v2_33.qasm,3.769209861755371
4mod5-v1_23.qasm,4.6803178787231445
4gt5_75.qasm,9.806663990020752
4gt13_92.qasm,3.7650644779205322
decod24-v1_41.qasm,5.3979926109313965
miller_11.qasm,3.3921256065368652
4mod5-v0_18.qasm,5.049531936645508
