Filename,Execution_Time,Execution_Time
4mod5-v0_20.qasm,3.82820463180542,3.82820463180542
alu-v3_34.qasm,10.640971422195435,10.640971422195435
4gt11_83.qasm,4.901213645935059,4.901213645935059
4mod5-v0_19.qasm,5.492969274520874,5.492969274520874
alu-v1_28.qasm,6.574304819107056,6.574304819107056
4gt11_84.qasm,2.635587692260742,2.635587692260742
ex-1_166.qasm,2.210322618484497,2.210322618484497
alu-v3_35.qasm,7.591738224029541,7.591738224029541
ex1_226.qasm,2.180452346801758,2.180452346801758
3_17_13.qasm,3.8487389087677,3.8487389087677
alu-bdd_288.qasm,24.843265295028687,24.843265295028687
qe_qft_4.qasm,9.865746259689331,9.865746259689331
alu-v1_29.qasm,6.248615980148315,6.248615980148315
mod5mils_65.qasm,5.653269052505493,5.653269052505493
4mod5-v1_22.qasm,4.069371700286865,4.069371700286865
decod24-v2_43.qasm,5.983928203582764,5.983928203582764
ham3_102.qasm,2.7560346126556396,2.7560346126556396
4mod5-v1_24.qasm,5.712111949920654,5.712111949920654
rd32-v1_68.qasm,4.641554355621338,4.641554355621338
alu-v4_37.qasm,7.6964240074157715,7.6964240074157715
4mod5-bdd_287.qasm,13.726442575454712,13.726442575454712
xor5_254.qasm,2.2369723320007324,2.2369723320007324
4gt13-v1_93.qasm,10.383667230606079,10.383667230606079
graycode6_47.qasm,2.323143482208252,2.323143482208252
rd32-v0_66.qasm,4.696968078613281,4.696968078613281
alu-v0_27.qasm,6.640129327774048,6.640129327774048
decod24-v0_38.qasm,6.345745086669922,6.345745086669922
4gt11_82.qasm,9.123759746551514,9.123759746551514
ising_model_10.qasm,55.002105712890625,55.002105712890625
alu-v2_33.qasm,6.940452337265015,6.940452337265015
4mod5-v1_23.qasm,11.891977787017822,11.891977787017822
4gt5_75.qasm,57.984211444854736,57.984211444854736
4gt13_92.qasm,9.84977102279663,9.84977102279663
decod24-v1_41.qasm,12.80186915397644,12.80186915397644
miller_11.qasm,5.211551904678345,5.211551904678345
4mod5-v0_18.qasm,30.69131374359131,30.69131374359131
