Pass Number,Pass Name,Pass Type,Runtime (ms),Depth,Size,1q Gates,2q Gates,Width
1,ContainsInstruction,Analysis,0.01,501,7367,3225,3385,50
2,UnitarySynthesis,Transformation,7.88,501,7367,3225,3385,50
3,HighLevelSynthesis,Transformation,7.8,501,7367,3225,3385,50
4,Unroll3qOrMore,Transformation,564.16,4038,19688,10962,8726,50
5,RemoveResetInZeroState,Transformation,5.8,4038,19688,10962,8726,50
6,OptimizeSwapBeforeMeasure,Transformation,11.86,4038,19687,10962,8725,50
7,RemoveDiagonalGatesBeforeMeasure,Transformation,10.8,4038,19683,10959,8724,50
8,SetLayout,Analysis,0.01,4038,19683,10959,8724,50
9,VF2Layout,Analysis,40.97,4038,19683,10959,8724,50
10,BarrierBeforeFinalMeasurements,Transformation,39.75,4039,19684,10959,8724,50
11,SabreLayout,Transformation,21663.12,10670,33369,10959,22409,152
12,CheckMap,Analysis,40.16,10670,33369,10959,22409,152
13,VF2PostLayout,Analysis,86.26,10670,33369,10959,22409,152
14,UnitarySynthesis,Transformation,23.34,10670,33369,10959,22409,152
15,HighLevelSynthesis,Transformation,33.15,10670,33369,10959,22409,152
16,UnrollCustomDefinitions,Transformation,94.52,10670,33369,10959,22409,152
17,BasisTranslator,Transformation,3067.03,29841,109275,55597,53677,152
18,RemoveResetInZeroState,Transformation,30.96,29841,109275,55597,53677,152
19,Depth,Analysis,73.11,29841,109275,55597,53677,152
20,Size,Analysis,37.0,29841,109275,55597,53677,152
21,MinimumPoint,Transformation,0.25,29841,109275,55597,53677,152
22,Collect2qBlocks,Analysis,173.73,29841,109275,55597,53677,152
23,ConsolidateBlocks,Transformation,20232.24,24748,87941,38952,48988,152
24,UnitarySynthesis,Transformation,63129.45,29090,112572,61642,50929,152
25,Optimize1qGatesDecomposition,Transformation,2057.7,24535,94125,43195,50929,152
26,CommutationAnalysis,Analysis,5859.5,24535,94125,43195,50929,152
27,CommutativeCancellation,Transformation,785.21,24139,92507,41591,50915,152
28,GatesInBasis,Analysis,201.34,24139,92507,41591,50915,152
29,Depth,Analysis,62.31,24139,92507,41591,50915,152
30,Size,Analysis,29.01,24139,92507,41591,50915,152
31,MinimumPoint,Transformation,3698.62,24139,92507,41591,50915,152
32,Collect2qBlocks,Analysis,148.2,24139,92507,41591,50915,152
33,ConsolidateBlocks,Transformation,17083.94,24127,92423,41546,50876,152
34,UnitarySynthesis,Transformation,284.14,24131,92489,41611,50877,152
35,Optimize1qGatesDecomposition,Transformation,1180.75,24126,92472,41594,50877,152
36,CommutationAnalysis,Analysis,2820.57,24126,92472,41594,50877,152
37,CommutativeCancellation,Transformation,309.27,24125,92469,41591,50877,152
38,GatesInBasis,Analysis,205.18,24125,92469,41591,50877,152
39,Depth,Analysis,63.5,24125,92469,41591,50877,152
40,Size,Analysis,31.52,24125,92469,41591,50877,152
41,MinimumPoint,Transformation,3460.23,24125,92469,41591,50877,152
42,Collect2qBlocks,Analysis,143.93,24125,92469,41591,50877,152
43,ConsolidateBlocks,Transformation,16864.79,24125,92469,41591,50877,152
44,UnitarySynthesis,Transformation,80.18,24125,92469,41591,50877,152
45,Optimize1qGatesDecomposition,Transformation,1200.31,24125,92469,41591,50877,152
46,CommutationAnalysis,Analysis,2546.71,24125,92469,41591,50877,152
47,CommutativeCancellation,Transformation,293.36,24125,92469,41591,50877,152
48,GatesInBasis,Analysis,202.11,24125,92469,41591,50877,152
49,Depth,Analysis,62.58,24125,92469,41591,50877,152
50,Size,Analysis,29.57,24125,92469,41591,50877,152
51,MinimumPoint,Transformation,0.01,24125,92469,41591,50877,152
52,ContainsInstruction,Analysis,30.49,24125,92469,41591,50877,152
53,InstructionDurationCheck,Analysis,29.43,24125,92469,41591,50877,152
54,ValidatePulseGates,Analysis,0.01,24125,92469,41591,50877,152
